theIndex,GeocoderAddress,GeocoderCountry,GeocoderState,GeocoderCity,GeocoderX,GeocoderY,CityCountyScale,Url,Date
460,North America,,,,-109.0,51.0000002,False,http://twitter.com/_simple_python/statuses/1500126489664229379,2022-03-05 15:10:00
460,Éire / Ireland,Éire / Ireland,,,-7.9794599,52.865196,False,http://twitter.com/_simple_python/statuses/1500126489664229379,2022-03-05 15:10:00
720,"Florida, United States",United States,Florida,,-81.4639835,27.7567667,False,http://twitter.com/VSC_News/statuses/1493208449831874566,2022-02-14 13:00:11
983,"Buenos Aires, Comuna 6, Ciudad Autónoma de Buenos Aires, Argentina",Argentina,Ciudad Autónoma de Buenos Aires,Buenos Aires,-58.4370894,-34.6075682,True,http://twitter.com/Syngenta_ar/statuses/1488852637495836673,2022-02-02 12:31:44
2310,Uganda,Uganda,,,32.2166578,1.5333554,False,http://twitter.com/AgBioWorld/statuses/1462837533704957960,2021-11-22 17:37:00
2552,Ecuador,Ecuador,,,-79.3666965,-1.3397668,False,http://twitter.com/EstadoAlternado/statuses/1458666928382386177,2021-11-11 05:24:31
2552,Colombia,Colombia,,,-72.9088133,4.099917,False,http://twitter.com/EstadoAlternado/statuses/1458666928382386177,2021-11-11 05:24:31
4164,Algérie,Algérie,,,2.9999825,28.0000272,False,http://twitter.com/Jadwiga_Sliwka/statuses/1439833177867132929,2021-09-20 06:05:55
4175,België / Belgique / Belgien,België / Belgique / Belgien,,,4.6667145,50.6402809,False,http://twitter.com/potatosystem1/statuses/1439600846635941890,2021-09-19 14:42:42
4264,中国,中国,,,104.999927,35.000074,False,http://twitter.com/myEvolPapers/statuses/1437470144242982912,2021-09-13 17:36:03
4264,"西藏自治区 བོད་རང་སྐྱོང་ལྗོངས།, 中国",中国,西藏自治区 བོད་རང་སྐྱོང་ལྗོངས།,,90.8749807,29.8556443,False,http://twitter.com/myEvolPapers/statuses/1437470144242982912,2021-09-13 17:36:03
4265,中国,中国,,,104.999927,35.000074,False,http://twitter.com/MitochondriaNe1/statuses/1437467378082779147,2021-09-13 17:25:04
4265,"西藏自治区 བོད་རང་སྐྱོང་ལྗོངས།, 中国",中国,西藏自治区 བོད་རང་སྐྱོང་ལྗོངས།,,90.8749807,29.8556443,False,http://twitter.com/MitochondriaNe1/statuses/1437467378082779147,2021-09-13 17:25:04
4458,Italia,Italia,,,12.674297,42.6384261,False,http://twitter.com/BSPPjournals/statuses/1432743925786320896,2021-08-31 16:35:45
4805,ኢትዮጵያ,ኢትዮጵያ,,,38.6521203,10.2116702,False,http://twitter.com/eoi_office/statuses/1428410692328067072,2021-08-19 17:37:02
5190,"Norfolk County, Southwestern Ontario, Ontario, Canada",Canada,Ontario,,-80.4538365,42.7971532,True,http://twitter.com/CherylTrueman/statuses/1425862345633542153,2021-08-12 16:50:49
5310,Deutschland,Deutschland,,,10.4478313,51.1638175,False,http://twitter.com/EcobreedP/statuses/1424403517532422146,2021-08-08 16:13:57
5971,"Gwynedd, Cymru / Wales, United Kingdom",United Kingdom,Cymru / Wales,,-3.833524428,52.9089585,True,http://twitter.com/SarpoUK/statuses/1416374127779274756,2021-07-17 12:28:01
6014,"Kent County, New Brunswick / Nouveau-Brunswick, Canada",Canada,New Brunswick / Nouveau-Brunswick,,-65.1995245,46.5425184,True,http://twitter.com/spornadosampler/statuses/1415725925577154565,2021-07-15 17:32:18
6014,"Norfolk County, Southwestern Ontario, Ontario, Canada",Canada,Ontario,,-80.4538365,42.7971532,True,http://twitter.com/spornadosampler/statuses/1415725925577154565,2021-07-15 17:32:18
6031,Nederland,Nederland,,,5.6343227,52.2434979,False,http://twitter.com/mdelledon/statuses/1415650267815632900,2021-07-15 12:31:40
6256,"Ontario, Canada",Canada,Ontario,,-86.000977,50.000678,False,http://twitter.com/karen4growers/statuses/1413504897018863622,2021-07-09 14:26:43
7307,Ōu,,,,10.0,51.0,False,http://twitter.com/PestNet/statuses/1393915197115355138,2021-05-16 13:04:15
7307,Asia,,,,89.2343748,51.2086975,False,http://twitter.com/PestNet/statuses/1393915197115355138,2021-05-16 13:04:15
7451,Perú,Perú,,,-75.0458515,-6.8699697,False,http://twitter.com/CGSpaceResearch/statuses/1390894336775237633,2021-05-08 05:00:26
7484,Ōu,,,,10.0,51.0,False,http://twitter.com/ProMED_mail/statuses/1390598840248676353,2021-05-07 09:26:14
7484,Asia,,,,89.2343748,51.2086975,False,http://twitter.com/ProMED_mail/statuses/1390598840248676353,2021-05-07 09:26:14
7582,Ōu,,,,10.0,51.0,False,http://twitter.com/potatonewstoday/statuses/1388576315859668999,2021-05-01 19:29:26
7582,Asia,,,,89.2343748,51.2086975,False,http://twitter.com/potatonewstoday/statuses/1388576315859668999,2021-05-01 19:29:26
7761,Africa,,,,17.7578122,11.5024338,False,http://twitter.com/JonEntine/statuses/1385275943305031689,2021-04-22 16:54:56
7768,Africa,,,,17.7578122,11.5024338,False,http://twitter.com/SciSeekFeed/statuses/1385112384805736450,2021-04-22 06:05:01
7769,Africa,,,,17.7578122,11.5024338,False,http://twitter.com/SergiBoleda/statuses/1385103083500302341,2021-04-22 05:28:03
7785,বাংলাদেশ,বাংলাদেশ,,,90.2934413,24.4769288,False,http://twitter.com/SCI_AgriFood/statuses/1384512907329867787,2021-04-20 14:22:54
10197,中国,中国,,,104.999927,35.000074,False,http://twitter.com/Cipotato/statuses/1353930720998260737,2021-01-26 05:00:13
10262,中国,中国,,,104.999927,35.000074,False,http://twitter.com/2blades/statuses/1353025841219960833,2021-01-23 17:04:33
10329,中国,中国,,,104.999927,35.000074,False,http://twitter.com/KearPhilip/statuses/1351364726165409794,2021-01-19 03:03:52
10375,"Sonitpur District, Assam, India",India,Assam,,92.98987101,26.76777075,True,http://twitter.com/airnews_ghy/statuses/1349927545483902978,2021-01-15 03:53:01
10393,"Sonitpur District, Assam, India",India,Assam,,92.98987101,26.76777075,True,http://twitter.com/airnews_ghy/statuses/1349767626080178178,2021-01-14 17:17:34
11061,ኢትዮጵያ,ኢትዮጵያ,,,38.6521203,10.2116702,False,http://twitter.com/Jadwiga_Sliwka/statuses/1334038912247926785,2020-12-02 07:37:16
